Group,Logged,Name,Source,Rate / True rate,Timeout,Default Value,Condition,Pretrigger,Telemetry,Datatype,Description
M400,TRUE,M400_throttlePosition,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_fuelCutLevelTotal,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_fuelOverallTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_gear,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_gearDet,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_gearSensorVoltage,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignCutLevelTotal,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignOverallTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_la1AimValue,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_la1ShortTermTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_lambda1,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_rpm,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign1Advance,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign2Advance,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign3Advance,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign4Advance,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignBaseAdvance,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_manifoldPressure,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_oilPressure,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_fuelInjTiming,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_fuelInjTimingComp,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_fuelInjTimingSec,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign1IndivTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign2IndivTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign3IndivTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ign4IndivTrim,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignAccel,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignAdvance,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignDecel,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_ignDwellTime,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_knock1,DDU7,5 ms,,,,,None,,,
M400,TRUE,M400_auxOut1DutyCycle,DDU7,20 ms,,,,,None,,,
M400,TRUE,M400_auxOut2DutyCycle,DDU7,20 ms,,,,,None,,,
M400,TRUE,M400_auxOut3DutyCycle,DDU7,20 ms,,,,,None,,,
