Group,Logged,Name,Source,Rate / True rate,Timeout,Default Value,Condition,Pretrigger,Telemetry,Datatype,Description
DAQ,TRUE,DAQ_torqueValue,DDU7,20ms,,,,,None,,
ETC,TRUE,ETC_servoOutput,DDU7,20ms,,,,,None,,
ETC,TRUE,ETC_status,DDU7,20ms,,,,,None,,
ETC,TRUE,ETC_throttlePosition,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut1DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut2DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut3DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut4DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut5DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut6DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut7DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_auxOut8DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_batteryVoltage,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ecuCPUusage,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ecuInternalTemp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_engineTemp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_exhaustGasTemp1,DDU7,20ms,,,,,None,,
M400,TRUE,M400_exhaustGasTemp2,DDU7,20ms,,,,,None,,
M400,TRUE,M400_exhaustGasTemp3,DDU7,20ms,,,,,None,,
M400,TRUE,M400_exhaustGasTemp4,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel1IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel1PulseWidth,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel2IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel2PulseWidth,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel3IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel3PulseWidth,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel4IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuel4PulseWidth,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelAccel,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelAccelClamp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelActualPulseW,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelATComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelBasePulseW,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelComp1,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelComp2,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelCutLevelTotal,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelDecel,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelDecelClamp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelETComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelFPComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelFTComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelInjDutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelInjDutyPrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelInjDutySec,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelInjTiming,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelInjTimingComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelInjTimingSec,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelLambdaComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelMAPComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelOverallTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelPressure,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelStartingComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelTemp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_fuelUsed,DDU7,20ms,,,,,None,,
M400,TRUE,M400_gear,DDU7,20ms,,,,,None,,
M400,TRUE,M400_gearDet,DDU7,20ms,,,,,None,,
M400,TRUE,M400_gearSensorVoltage,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign1Advance,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign1IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign2Advance,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign2IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign3Advance,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign3IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign4Advance,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ign4IndivTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignAccel,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignAdvance,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignATComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignBaseAdvance,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignComp1,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignComp2,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignCutLevelTotal,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignDecel,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignDwellTime,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignETComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignMAPComp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignOut1DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignOut2DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignOut3DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignOut4DutyCycle,DDU7,20ms,,,,,None,,
M400,TRUE,M400_ignOverallTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_inletAirTemp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_knock1,DDU7,20ms,,,,,None,,
M400,TRUE,M400_la1AimValue,DDU7,20ms,,,,,None,,
M400,TRUE,M400_la1LongTermTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_la1ShortTermTrim,DDU7,20ms,,,,,None,,
M400,TRUE,M400_lambda1,DDU7,20ms,,,,,None,,
M400,TRUE,M400_manifoldPressure,DDU7,20ms,,,,,None,,
M400,TRUE,M400_oilPressure,DDU7,20ms,,,,,None,,
M400,TRUE,M400_oilTemp,DDU7,20ms,,,,,None,,
M400,TRUE,M400_rowCounterDataSet1,DDU7,20ms,,,,,None,,
M400,TRUE,M400_rowCounterDataSet2,DDU7,20ms,,,,,None,,
M400,TRUE,M400_rpm,DDU7,20ms,,,,,None,,
M400,TRUE,M400_throttlePosition,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_boardTemp,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter00,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter01,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter02,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter03,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter04,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter05,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter06,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter07,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter08,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter09,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter10,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter11,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter12,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_counter13,DDU7,20ms,,,,,None,,
